ID,DateTime,MaMH,MaPH
BCS000003,2024-10-24 03:04:39,MH10,P01
bcs000001,2024-10-24 11:19:00,MH04,P01
BCS000002,2024-10-24 11:23:37,MH01,P01
BCS000005,2024-10-24 11:33:52,MH03,P01
BCS000003,2024-10-24 11:40:50,MH08,P01
BCS000002,2024-10-24 11:45:18,MH09,P01
